ID	DOCULECT	CONCEPT	CONCEPTICON_ID	VALUE	SEGMENTS	STRUCTURE	PARTIAL_IDS	ALIGNMENT	PROSTRING
677	Eryuan	family	194	xa³¹tɤ⁵⁵	x a ³¹ + t ɤ ⁵⁵	i n t + i n t	901 902	x a - ³¹ + t - ɤ - ⁵⁵	i n c t + i m n c t
678	Heqing	family	194	xʰɔu³¹tũɔ̃³⁵	xʰ ɔ u ³¹ + t u ɔ̃ ∼ ³⁵	i n c t + i m n c t	901 902	xʰ ɔ u ³¹ + t u ɔ̃ ∼ ³⁵	i n c t + i m n c t
679	Lanping	family	194	xã⁴⁴to⁵⁵	x ã ∼ ⁴⁴ + t o ⁵⁵	i n c t + i n t	901 902	x ã ∼ ⁴⁴ + t - o - ⁵⁵	i n c t + i m n c t
680	Qiliqiao	family	194	xɔ³¹tɤ³⁵	x ɔ ³¹ + t ɤ ³⁵	i n t + i n t	901 902	x ɔ - ³¹ + t - ɤ - ³⁵	i n c t + i m n c t
681	Yunlong	family	194	xa³¹tɤ⁵⁵	x a ³¹ + t ɤ ⁵⁵	i n t + i n t	901 902	x a - ³¹ + t - ɤ - ⁵⁵	i n c t + i m n c t
682	Xiangyun	family	194	xɛ̃³¹tɛ³⁵	x ɛ̃ ∼ ³¹ + t ɛ ³⁵	i n c t + i n t	901 902	x ɛ̃ ∼ ³¹ + t - ɛ - ³⁵	i n c t + i m n c t
683	Luobenzhuo	family	194	xã³³tɤ⁵⁵	x ã ∼ ³³ + t ɤ ⁵⁵	i n c t + i n t	901 902	x ã ∼ ³³ + t - ɤ - ⁵⁵	i n c t + i m n c t
684	Zhoucheng	family	194	xɔ³¹tɤ³⁵	x ɔ ³¹ + t ɤ ³⁵	i n t + i n t	901 902	x ɔ - ³¹ + t - ɤ - ³⁵	i n c t + i m n c t
2962	Jianchuan	far	1406	tũẽ³³	t u ẽ ∼ ³³	i m n c t	150	t u ẽ ∼ ³³	i m n c t
2963	Eryuan	far	1406	tue³³	t u e ³³	i m n t	150	t u e - ³³	i m n c t
2964	Heqing	far	1406	tuẽ³³	t u ẽ ∼ ³³	i m n c t	150	t u ẽ ∼ ³³	i m n c t
2965	Lanping	far	1406	tũẽ⁴⁴	t u ẽ ∼ ⁴⁴	i m n c t	150	t u ẽ ∼ ⁴⁴	i m n c t
2966	Qiliqiao	far	1406	tue³³	t u e ³³	i m n t	150	t u e - ³³	i m n c t
2967	Yunlong	far	1406	tue³³	t u e ³³	i m n t	150	t u e - ³³	i m n c t
2968	Xiangyun	far	1406	tũẽ³³	t u ẽ ∼ ³³	i m n c t	150	t u ẽ ∼ ³³	i m n c t
2969	Luobenzhuo	far	1406	dy³³	d y ³³	i n t	150	d - y - ³³	i m n c t
2970	Zhoucheng	far	1406	tue³³	t u e ³³	i m n t	150	t u e - ³³	i m n c t
3142	Jianchuan	fat (pig)	1279	fɛ⁴⁴	f ɛ ⁴⁴	i n t	1369	f ɛ ⁴⁴	i n t
3143	Eryuan	fat (pig)	1279	fɛ⁴⁴	f ɛ ⁴⁴	i n t	1369	f ɛ ⁴⁴	i n t
3144	Heqing	fat (pig)	1279	fɤ²¹	f ɤ ²¹	i n t	1369	f ɤ ²¹	i n t
3145	Lanping	fat (pig)	1279	fe⁴⁴	f e ⁴⁴	i n t	1369	f e ⁴⁴	i n t
3146	Qiliqiao	fat (pig)	1279	ko²¹	k o ²¹	i n t	1582	k o - ²¹	i n c t
3147	Yunlong	fat (pig)	1279	fɛ⁴⁴	f ɛ ⁴⁴	i n t	1369	f ɛ ⁴⁴	i n t
3148	Xiangyun	fat (pig)	1279	kã²¹	k ã ∼ ²¹	i n c t	1582	k ã ∼ ²¹	i n c t
3149	Luobenzhuo	fat (pig)	1279	wæ̃³¹	w æ̃ ∼ ³¹	i n c t	1370	w æ̃ ∼ ³¹	i n c t
3150	Zhoucheng	fat (pig)	1279	ko⁴²	k o ⁴²	i n t	1582	k o - ⁴²	i n c t
631	Jianchuan	father	1217	a³¹ti³³	a ³¹ + t i ³³	n t + i n t	151 152	a ³¹ + t i ³³	n t + i n t
632	Eryuan	father	1217	a⁵⁵ji²¹	a ⁵⁵ + j i ²¹	n t + i n t	151 153	a ⁵⁵ + j i ²¹	n t + i n t
633	Heqing	father	1217	ti³³	t i ³³	i n t	152	t i ³³	i n t
634	Lanping	father	1217	a⁴⁴ti⁴⁴	a ⁴⁴ + t i ⁴⁴	n t + i n t	151 152	a ⁴⁴ + t i ⁴⁴	n t + i n t
635	Qiliqiao	father	1217	a³¹ti³³	a ³¹ + t i ³³	n t + i n t	151 152	a ³¹ + t i ³³	n t + i n t
636	Yunlong	father	1217	a⁵⁵ti³³	a ⁵⁵ + t i ³³	n t + i n t	151 152	a ⁵⁵ + t i ³³	n t + i n t
637	Xiangyun	father	1217	a³¹ti³³	a ³¹ + t i ³³	n t + i n t	151 152	a ³¹ + t i ³³	n t + i n t
638	Luobenzhuo	father	1217	a⁵⁵bɔ³³	a ⁵⁵ + b ɔ ³³	n t + i n t	151 154	a ⁵⁵ + b ɔ ³³	n t + i n t
639	Zhoucheng	father	1217	a³³tɕi³³	a ³³ + tɕ i ³³	n t + i n t	151 152	a ³³ + tɕ i ³³	n t + i n t
2476	Jianchuan	fear	1419	kɛ̃⁵⁵	k ɛ̃ ∼ ⁵⁵	i n c t	1259	k ɛ̃ ∼ ⁵⁵	i n c t
2477	Eryuan	fear	1419	kʲɛ³⁵	kʲ ɛ ³⁵	i n t	1259	kʲ ɛ - ³⁵	i n c t
2478	Heqing	fear	1419	kɛ̃⁵⁵	k ɛ̃ ∼ ⁵⁵	i n c t	1259	k ɛ̃ ∼ ⁵⁵	i n c t
2479	Lanping	fear	1419	kɛ̃⁵⁵	k ɛ̃ ∼ ⁵⁵	i n c t	1259	k ɛ̃ ∼ ⁵⁵	i n c t
2480	Qiliqiao	fear	1419	kɛ³⁵	k ɛ ³⁵	i n t	1259	k ɛ - ³⁵	i n c t
2481	Yunlong	fear	1419	kɛ³⁵	k ɛ ³⁵	i n t	1259	k ɛ - ³⁵	i n c t
2482	Xiangyun	fear	1419	kʲɛ̃³⁵	kʲ ɛ̃ ∼ ³⁵	i n c t	1259	kʲ ɛ̃ ∼ ³⁵	i n c t
2483	Luobenzhuo	fear	1419	ci⁵⁵	c i ⁵⁵	i n t	1259	c i - ⁵⁵	i n c t
2484	Zhoucheng	fear	1419	kʲɛ³⁵	kʲ ɛ ³⁵	i n t	1259	kʲ ɛ - ³⁵	i n c t
4366	Jianchuan	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4367	Eryuan	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4368	Heqing	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4369	Lanping	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4370	Qiliqiao	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4371	Yunlong	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4372	Xiangyun	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
4373	Luobenzhuo	feather,hair	1201	miɛ²¹	m i ɛ ²¹	i m n t	750	m i ɛ ²¹	i m n t
4374	Zhoucheng	feather,hair	1201	ma²¹	m a ²¹	i n t	750	m - a ²¹	i m n t
1981	Jianchuan	feed (fatten up)	739	wẽ⁴²	w ẽ ∼ ⁴²	i n c t	1166	w ẽ ∼ ⁴²	i n c t
1982	Eryuan	feed (fatten up)	739	we⁴²	w e ⁴²	i n t	1166	w e - ⁴²	i n c t
1983	Heqing	feed (fatten up)	739	we⁴²	w e ⁴²	i n t	1166	w e - ⁴²	i n c t
1984	Lanping	feed (fatten up)	739	we⁴²	w e ⁴²	i n t	1166	w e - ⁴²	i n c t
1985	Qiliqiao	feed (fatten up)	739	wa³²	w a ³²	i n t	1166	w a - ³²	i n c t
1986	Yunlong	feed (fatten up)	739	wɛ⁴²	w ɛ ⁴²	i n t	1166	w ɛ - ⁴²	i n c t
1987	Xiangyun	feed (fatten up)	739	we⁴²	w e ⁴²	i n t	1166	w e - ⁴²	i n c t
1988	Luobenzhuo	feed (fatten up)	739	ao⁵⁵	a o ⁵⁵	n c t	1166	- a o ⁵⁵	i n c t
1989	Zhoucheng	feed (fatten up)	739	we⁴²	w e ⁴²	i n t	1166	w e - ⁴²	i n c t
2989	Jianchuan	few	1242	ɕo³³	ɕ o ³³	i n t	1356	ɕ o ³³	i n t
2990	Eryuan	few	1242	ɕu³³	ɕ u ³³	i n t	1356	ɕ u ³³	i n t
2991	Heqing	few	1242	ɕu³³	ɕ u ³³	i n t	1356	ɕ u ³³	i n t
2992	Lanping	few	1242	ɕɔ⁴⁴	ɕ ɔ ⁴⁴	i n t	1356	ɕ ɔ ⁴⁴	i n t
2993	Qiliqiao	few	1242	ɕo³³	ɕ o ³³	i n t	1356	ɕ o ³³	i n t
2994	Yunlong	few	1242	ɕu³³	ɕ u ³³	i n t	1356	ɕ u ³³	i n t
2995	Xiangyun	few	1242	ɕu³³	ɕ u ³³	i n t	1356	ɕ u ³³	i n t
2996	Luobenzhuo	few	1242	ɕo³³	ɕ o ³³	i n t	1356	ɕ o ³³	i n t
2997	Zhoucheng	few	1242	ɕo³³	ɕ o ³³	i n t	1356	ɕ o ³³	i n t
2935	Jianchuan	fine,thin	2157	mo⁴²	m o ⁴²	i n t	1354	m o - ⁴²	i n c t
2936	Eryuan	fine,thin	2157	mɔ⁴²	m ɔ ⁴²	i n t	1354	m ɔ - ⁴²	i n c t
2937	Heqing	fine,thin	2157	ma⁴²	m a ⁴²	i n t	1354	m a - ⁴²	i n c t
2938	Lanping	fine,thin	2157	mɔ̃³¹	m ɔ̃ ∼ ³¹	i n c t	1354	m ɔ̃ ∼ ³¹	i n c t
2939	Qiliqiao	fine,thin	2157	mu³²	m u ³²	i n t	1354	m u - ³²	i n c t
2940	Yunlong	fine,thin	2157	mɔ⁴²	m ɔ ⁴²	i n t	1354	m ɔ - ⁴²	i n c t
2941	Xiangyun	fine,thin	2157	mɔu⁴²	m ɔ u ⁴²	i n c t	1354	m ɔ u ⁴²	i n c t
2942	Luobenzhuo	fine,thin	2157	mɔ̃⁴⁴	m ɔ̃ ∼ ⁴⁴	i n c t	1354	m ɔ̃ ∼ ⁴⁴	i n c t
2943	Zhoucheng	fine,thin	2157	mu³²	m u ³²	i n t	1354	m u - ³²	i n c t
370	Jianchuan	finger	1303	sɯ³³tɯ²¹tsɿ³³	s ɯ ³³ + t ɯ ²¹ + ts ɿ ³³	i n t + i n t + i n t	155 156 157	s ɯ - ³³ + t - ɯ - ²¹ + ts ɿ ³³	i n c t + i m n c t + i n t
371	Eryuan	finger	1303	ʂɯ³³tɯ²¹tse⁴⁴ne³¹	ʂ ɯ ³³ + t ɯ ²¹ + ts e ⁴⁴ + n e ³¹	i n t + i n t + i n t + i n t	155 156 157 158	ʂ ɯ - ³³ + t - ɯ - ²¹ + ts e ⁴⁴ + n e ³¹	i n c t + i m n c t + i n t + i n t
372	Heqing	finger	1303	sʰɯ³³tɯ²¹ti⁵⁵mɔu³³	sʰ ɯ ³³ + t ɯ ²¹ + t i ⁵⁵ + m ɔ u ³³	i n t + i n t + i n t + i n c t	155 156 159 160	sʰ ɯ - ³³ + t - ɯ - ²¹ + t i ⁵⁵ + m ɔ u ³³	i n c t + i m n c t + i n t + i n c t
373	Lanping	finger	1303	sɯ³³ti⁵⁵tiɯ³³	s ɯ ³³ + t i ⁵⁵ + t i ɯ ³³	i n t + i n t + i m n t	155 157 156	s ɯ - ³³ + t i ⁵⁵ + t i ɯ - ³³	i n c t + i n t + i m n c t
374	Qiliqiao	finger	1303	sɯ³³tsɿ³¹tsɿ³³	s ɯ ³³ + ts ɿ ³¹ + ts ɿ ³³	i n t + i n t + i n t	155 157 157	s ɯ - ³³ + ts ɿ ³¹ + 0	i n c t + i n t + 0
375	Yunlong	finger	1303	ʃɤ³³tsɿ³³	ʃ ɤ ³³ + ts ɿ ³³	i n t + i n t	155 157	ʃ ɤ - ³³ + ts ɿ ³³	i n c t + i n t
376	Xiangyun	finger	1303	sou³³tou²¹tsɿ³³	s o u ³³ + t o u ²¹ + ts ɿ ³³	i n c t + i n c t + i n t	155 156 157	s o u ³³ + t - o u ²¹ + ts ɿ ³³	i n c t + i m n c t + i n t
377	Luobenzhuo	finger	1303	ɕi³³tɕɯ̃³¹	ɕ i ³³ + tɕ ɯ̃ ∼ ³¹	i n t + i n c t	155 161	ɕ i - ³³ + tɕ ɯ̃ ∼ ³¹	i n c t + i n c t
378	Zhoucheng	finger	1303	sɯ³³tsɿ³³tɯ²¹	s ɯ ³³ + ts ɿ ³³ + t ɯ ²¹	i n t + i n t + i n t	155 157 156	s ɯ - ³³ + ts ɿ ³³ + t - ɯ - ²¹	i n c t + i n t + i m n c t
379	Jianchuan	fingernail	1258	sɯ³³tɯ²¹kɛ⁴⁴	s ɯ ³³ + t ɯ ²¹ + k ɛ ⁴⁴	i n t + i n t + i n t	162 163 164	s ɯ - ³³ + t ɯ - ²¹ + k - ɛ - ⁴⁴	i n c t + i n c t + i m n c t
380	Eryuan	fingernail	1258	ʂɯ³³tɯ²¹kʲɛ⁴⁴	ʂ ɯ ³³ + t ɯ ²¹ + kʲ ɛ ⁴⁴	i n t + i n t + i n t	162 163 164	ʂ ɯ - ³³ + t ɯ - ²¹ + kʲ - ɛ - ⁴⁴	i n c t + i n c t + i m n c t
381	Heqing	fingernail	1258	sʰɯ³³tɯ²¹kɛ⁴²	sʰ ɯ ³³ + t ɯ ²¹ + k ɛ ⁴²	i n t + i n t + i n t	162 163 164	sʰ ɯ - ³³ + t ɯ - ²¹ + k - ɛ - ⁴²	i n c t + i n c t + i m n c t
382	Lanping	fingernail	1258	sɯ³³ti⁵⁵kɛ⁴⁴pʰiɛ⁵⁵	s ɯ ³³ + t i ⁵⁵ + k ɛ ⁴⁴ + pʰ i ɛ ⁵⁵	i n t + i n t + i n t + i m n t	162 165 164 166	s ɯ - ³³ + t i ⁵⁵ + k - ɛ - ⁴⁴ + pʰ i ɛ ⁵⁵	i n c t + i n t + i m n c t + i m n t
383	Qiliqiao	fingernail	1258	sɯ³³tɕi³³kiɛ⁴⁴	s ɯ ³³ + tɕ i ³³ + k i ɛ ⁴⁴	i n t + i n t + i m n t	162 163 164	s ɯ - ³³ + tɕ i - ³³ + k i ɛ - ⁴⁴	i n c t + i n c t + i m n c t
384	Yunlong	fingernail	1258	ʃɤ³³tɯ²¹kɛ⁴⁴	ʃ ɤ ³³ + t ɯ ²¹ + k ɛ ⁴⁴	i n t + i n t + i n t	162 163 164	ʃ ɤ - ³³ + t ɯ - ²¹ + k - ɛ - ⁴⁴	i n c t + i n c t + i m n c t
385	Xiangyun	fingernail	1258	sou³³tou²¹kʲɛ⁴⁴	s o u ³³ + t o u ²¹ + kʲ ɛ ⁴⁴	i n c t + i n c t + i n t	162 163 164	s o u ³³ + t o u ²¹ + kʲ - ɛ - ⁴⁴	i n c t + i n c t + i m n c t
386	Luobenzhuo	fingernail	1258	ɕi³³tɕɯ̃³¹tɯ³¹qao⁵⁵	ɕ i ³³ + tɕ ɯ̃ ∼ ³¹ + t ɯ ³¹ + q a o ⁵⁵	i n t + i n c t + i n t + i n c t	162 167 163 164	ɕ i - ³³ + tɕ ɯ̃ ∼ ³¹ + t ɯ - ³¹ + q - a o ⁵⁵	i n c t + i n c t + i n c t + i m n c t
387	Zhoucheng	fingernail	1258	sɯ³³tsɿ³³kʲɛ⁴⁴	s ɯ ³³ + ts ɿ ³³ + kʲ ɛ ⁴⁴	i n t + i n t + i n t	162 163 164	s ɯ - ³³ + ts ɿ - ³³ + kʲ - ɛ - ⁴⁴	i n c t + i n c t + i m n c t
1405	Jianchuan	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1406	Eryuan	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1407	Heqing	fire	221	xʰue³³	xʰ u e ³³	i m n t	168	xʰ u e ³³	i m n t
1408	Lanping	fire	221	xue⁴⁴	x u e ⁴⁴	i m n t	168	x u e ⁴⁴	i m n t
1409	Qiliqiao	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1410	Yunlong	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1411	Xiangyun	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1412	Luobenzhuo	fire	221	fi³³	f i ³³	i n t	168	f - i ³³	i m n t
1413	Zhoucheng	fire	221	xue³³	x u e ³³	i m n t	168	x u e ³³	i m n t
1234	Jianchuan	firewood	10	ɕĩ⁵⁵	ɕ ĩ ∼ ⁵⁵	i n c t	169	ɕ ĩ ∼ ⁵⁵	i n c t
1235	Eryuan	firewood	10	ɕi⁵⁵	ɕ i ⁵⁵	i n t	169	ɕ i - ⁵⁵	i n c t
1236	Heqing	firewood	10	ɕʰĩ⁵⁵	ɕʰ ĩ ∼ ⁵⁵	i n c t	169	ɕʰ ĩ ∼ ⁵⁵	i n c t
1237	Lanping	firewood	10	ɕĩ⁵⁵	ɕ ĩ ∼ ⁵⁵	i n c t	169	ɕ ĩ ∼ ⁵⁵	i n c t
1238	Qiliqiao	firewood	10	ɕi³⁵	ɕ i ³⁵	i n t	169	ɕ i - ³⁵	i n c t
1239	Yunlong	firewood	10	se⁵⁵	s e ⁵⁵	i n t	169	s e - ⁵⁵	i n c t
1240	Xiangyun	firewood	10	ɕĩ⁵⁵	ɕ ĩ ∼ ⁵⁵	i n c t	169	ɕ ĩ ∼ ⁵⁵	i n c t
1241	Luobenzhuo	firewood	10	sɛ̃⁵⁵	s ɛ̃ ∼ ⁵⁵	i n c t	169	s ɛ̃ ∼ ⁵⁵	i n c t
1242	Zhoucheng	firewood	10	ɕi⁵⁵	ɕ i ⁵⁵	i n t	169	ɕ i - ⁵⁵	i n c t
3943	Jianchuan	first	728	ɕĩ⁵⁵‹›tɯ²¹	ɕ ĩ ∼ ⁵⁵	i n c t	1525	ɕ ĩ ∼ ⁵⁵	i n c t
3944	Eryuan	first	728	tɯ²¹	t ɯ ²¹	i n t	1526	t - ɯ - ²¹	i m n c t
3945	Heqing	first	728	tɯ²¹	t ɯ ²¹	i n t	1526	t - ɯ - ²¹	i m n c t
3946	Lanping	first	728	tiɯ²¹	t i ɯ ²¹	i m n t	1526	t i ɯ - ²¹	i m n c t
3947	Qiliqiao	first	728	tɯ²¹	t ɯ ²¹	i n t	1526	t - ɯ - ²¹	i m n c t
3948	Yunlong	first	728	sɛ³³	s ɛ ³³	i n t	1525	s ɛ - ³³	i n c t
3949	Xiangyun	first	728	tou³¹	t o u ³¹	i n c t	1526	t - o u ³¹	i m n c t
3950	Luobenzhuo	first	728	tɤ³¹	t ɤ ³¹	i n t	1526	t - ɤ - ³¹	i m n c t
3951	Zhoucheng	first	728	ɕi³³	ɕ i ³³	i n t	1525	ɕ i - ³³	i n c t
4514	Jianchuan	first	0	ɕĩ⁵⁵‹›tɯ²¹	t ɯ ²¹	i n t	1526	t - ɯ - ²¹	i m n c t
2503	Jianchuan	first month (lunar)	2036	tsɿ⁵⁵wã⁴⁴	ts ɿ ⁵⁵ + w ã ∼ ⁴⁴	i n t + i n c t	617 618	ts ɿ - ⁵⁵ + w - ã ∼ ⁴⁴	i n c t + i m n c t
2504	Eryuan	first month (lunar)	2036	tʂɛ³⁵ŋua⁴⁴	tʂ ɛ ³⁵ + ŋ u a ⁴⁴	i n t + i m n t	617 618	tʂ ɛ - ³⁵ + ŋ u a - ⁴⁴	i n c t + i m n c t
2505	Heqing	first month (lunar)	2036	tsɛ̃³⁵wã⁴⁴	ts ɛ̃ ∼ ³⁵ + w ã ∼ ⁴⁴	i n c t + i n c t	617 618	ts ɛ̃ ∼ ³⁵ + w - ã ∼ ⁴⁴	i n c t + i m n c t
2506	Lanping	first month (lunar)	2036	tsã⁵⁵wã⁴⁴	ts ã ∼ ⁵⁵ + w ã ∼ ⁴⁴	i n c t + i n c t	617 618	ts ã ∼ ⁵⁵ + w - ã ∼ ⁴⁴	i n c t + i m n c t
2507	Qiliqiao	first month (lunar)	2036	tsɛ³⁵wa⁴⁴	ts ɛ ³⁵ + w a ⁴⁴	i n t + i n t	617 618	ts ɛ - ³⁵ + w - a - ⁴⁴	i n c t + i m n c t
2508	Yunlong	first month (lunar)	2036	tsɛ³⁵ŋua⁴⁴	ts ɛ ³⁵ + ŋ u a ⁴⁴	i n t + i m n t	617 618	ts ɛ - ³⁵ + ŋ u a - ⁴⁴	i n c t + i m n c t
2509	Xiangyun	first month (lunar)	2036	tsɛ̃³⁵wã⁴⁴	ts ɛ̃ ∼ ³⁵ + w ã ∼ ⁴⁴	i n c t + i n c t	617 618	ts ɛ̃ ∼ ³⁵ + w - ã ∼ ⁴⁴	i n c t + i m n c t
2510	Luobenzhuo	first month (lunar)	2036	ɕã³³ŋua⁴⁴	ɕ ã ∼ ³³ + ŋ u a ⁴⁴	i n c t + i m n t	1583 618	ɕ ã ∼ ³³ + ŋ u a - ⁴⁴	i n c t + i m n c t
2511	Zhoucheng	first month (lunar)	2036	tsɛ³⁵wa⁴⁴	ts ɛ ³⁵ + w a ⁴⁴	i n t + i n t	617 618	ts ɛ - ³⁵ + w - a - ⁴⁴	i n c t + i m n c t
4195	Jianchuan	fish	227	ɤ̃⁵⁵	ɤ̃ ∼ ⁵⁵	n c t	170	- ɤ̃ ∼ ⁵⁵	i n c t
4196	Eryuan	fish	227	ɤ³⁵	ɤ ³⁵	n t	170	- ɤ - ³⁵	i n c t
4197	Heqing	fish	227	ũ⁵⁵	ũ ∼ ⁵⁵	n c t	170	- ũ ∼ ⁵⁵	i n c t
4198	Lanping	fish	227	ũ⁵⁵	ũ ∼ ⁵⁵	n c t	170	- ũ ∼ ⁵⁵	i n c t
4199	Qiliqiao	fish	227	ŋɤ³⁵	ŋ ɤ ³⁵	i n t	170	ŋ ɤ - ³⁵	i n c t
4200	Yunlong	fish	227	ŋɯ³⁵	ŋ ɯ ³⁵	i n t	170	ŋ ɯ - ³⁵	i n c t
4201	Xiangyun	fish	227	ŋɯ³⁵	ŋ ɯ ³⁵	i n t	170	ŋ ɯ - ³⁵	i n c t
4202	Luobenzhuo	fish	227	ɴ̣³⁵	ɴ ɴ̣ ∼ ³⁵	i n c t	170	ɴ ɴ̣ ∼ ³⁵	i n c t
4203	Zhoucheng	fish	227	ŋɤ³⁵	ŋ ɤ ³⁵	i n t	170	ŋ ɤ - ³⁵	i n c t
3547	Jianchuan	five	493	ɤ̃³³	ɤ̃ ∼ ³³	n c t	171	- ɤ̃ ∼ ³³	i n c t
3548	Eryuan	five	493	ŋo³³	ŋ o ³³	i n t	171	ŋ o - ³³	i n c t
3549	Heqing	five	493	ɣũ³³	ɣ ũ ∼ ³³	i n c t	171	ɣ ũ ∼ ³³	i n c t
3550	Lanping	five	493	wõ⁴⁴	w õ ∼ ⁴⁴	i n c t	171	w õ ∼ ⁴⁴	i n c t
3551	Qiliqiao	five	493	ŋɤ³³	ŋ ɤ ³³	i n t	171	ŋ ɤ - ³³	i n c t
3552	Yunlong	five	493	ŋu³³	ŋ u ³³	i n t	171	ŋ u - ³³	i n c t
3553	Xiangyun	five	493	wɔ̃³³	w ɔ̃ ∼ ³³	i n c t	171	w ɔ̃ ∼ ³³	i n c t
3554	Luobenzhuo	five	493	ŋɤ̃³³	ŋ ɤ̃ ∼ ³³	i n c t	171	ŋ ɤ̃ ∼ ³³	i n c t
3555	Zhoucheng	five	493	mu³³	m u ³³	i n t	1584	m u ³³	i n t
4276	Jianchuan	flea	232	kʰũã³³ɕi⁴⁴	kʰ u ã ∼ ³³ + ɕ i ⁴⁴	i m n c t + i n t	738 739	kʰ u ã ∼ ³³ + ɕ - i ⁴⁴	i m n c t + i m n t
4277	Eryuan	flea	232	kʰua³³sɔ⁴⁴	kʰ u a ³³ + s ɔ ⁴⁴	i m n t + i n t	738 739	kʰ u a - ³³ + s - ɔ ⁴⁴	i m n c t + i m n t
4278	Heqing	flea	232	kʰũã³³ɕi⁴⁴	kʰ u ã ∼ ³³ + ɕ i ⁴⁴	i m n c t + i n t	738 739	kʰ u ã ∼ ³³ + ɕ - i ⁴⁴	i m n c t + i m n t
4279	Lanping	flea	232	kʰũã⁴⁴ɕi⁴⁴tsɿ³³	kʰ u ã ∼ ⁴⁴ + ɕ i ⁴⁴ + ts ɿ ³³	i m n c t + i n t + i n t	738 739 740	kʰ u ã ∼ ⁴⁴ + ɕ - i ⁴⁴ + ts ɿ ³³	i m n c t + i m n t + i n t
4280	Qiliqiao	flea	232	tʰiɔ³³ʃuɔ³³	tʰ i ɔ ³³ + ʃ u ɔ ³³	i m n t + i m n t	741 739	tʰ i ɔ ³³ + ʃ u ɔ ³³	i m n t + i m n t
4281	Yunlong	flea	232	kʰua³³su³³	kʰ u a ³³ + s u ³³	i m n t + i n t	738 739	kʰ u a - ³³ + s - u ³³	i m n c t + i m n t
4282	Xiangyun	flea	232	kʰũã³³sɤ⁴⁴	kʰ u ã ∼ ³³ + s ɤ ⁴⁴	i m n c t + i n t	738 739	kʰ u ã ∼ ³³ + s - ɤ ⁴⁴	i m n c t + i m n t
4283	Luobenzhuo	flea	232	qʰɔ̃³³ɕʊ³³	qʰ ɔ̃ ∼ ³³ + ɕ ʊ ³³	i n c t + i n t	738 739	qʰ - ɔ̃ ∼ ³³ + ɕ - ʊ ³³	i m n c t + i m n t
4284	Zhoucheng	flea	232	tɕʰo³³sua³¹tsɿ³³	tɕʰ o ³³ + s u a ³¹ + ts ɿ ³³	i n t + i m n t + i n t	1585 739 740	tɕʰ o ³³ + s u a ³¹ + ts ɿ ³³	i n t + i m n t + i n t
2413	Jianchuan	flee	956	mo²¹	m o ²¹	i n t	1237	m o - ²¹	i n c t
2414	Eryuan	flee	956	mu²¹	m u ²¹	i n t	1237	m u - ²¹	i n c t
2415	Heqing	flee	956	mɯ²¹	m ɯ ²¹	i n t	1237	m ɯ - ²¹	i n c t
2416	Lanping	flee	956	mɯ²¹	m ɯ ²¹	i n t	1237	m ɯ - ²¹	i n c t
2417	Qiliqiao	flee	956	mu²¹	m u ²¹	i n t	1237	m u - ²¹	i n c t
2418	Yunlong	flee	956	mu²¹	m u ²¹	i n t	1237	m u - ²¹	i n c t
2419	Xiangyun	flee	956	mou²¹/tsua³⁵	m o u ²¹	i n c t	1237	m o u ²¹	i n c t
2420	Luobenzhuo	flee	956	mãõ³⁵	m ã õ ³⁵	i n c t	1237	m ã õ ³⁵	i n c t
2421	Zhoucheng	flee	956	mu²¹	m u ²¹	i n t	1237	m u - ²¹	i n c t
190	Jianchuan	flower	239	xou⁵⁵	x o u ⁵⁵	i n c t	798	x - o u ⁵⁵	i m n c t
191	Eryuan	flower	239	xɔ³⁵	x ɔ ³⁵	i n t	798	x - ɔ - ³⁵	i m n c t
192	Heqing	flower	239	xuɔ³⁵	x u ɔ ³⁵	i m n t	798	x u ɔ - ³⁵	i m n c t
193	Lanping	flower	239	xu⁵⁵	x u ⁵⁵	i n t	798	x - u - ⁵⁵	i m n c t
194	Qiliqiao	flower	239	xuɔ³⁵	x u ɔ ³⁵	i m n t	798	x u ɔ - ³⁵	i m n c t
195	Yunlong	flower	239	xao³³	x a o ³³	i n c t	798	x - a o ³³	i m n c t
196	Xiangyun	flower	239	xo³⁵	x o ³⁵	i n t	798	x - o - ³⁵	i m n c t
197	Luobenzhuo	flower	239	χu⁵⁵	χ u ⁵⁵	i n t	798	χ - u - ⁵⁵	i m n c t
